,BOX_187_211_211,BOX_167_036_51,BOX_183_523_442,BOX_208_146_208,BOX_123_133_113,BOX_106_212_26,BOX_149_291_324,BOX_105_006_13,BOX_183_512_122,BOX_209_444_278,BOX_183_461_99,BOX_116_100_9,BOX_104_046_14,BOX_138_530_281,BOX_078_113_82,BOX_115_076_8,BOX_183_140_13,BOX_209_318_199,BOX_187_474_59,BOX_166_072_95,BOX_094_057_54,BOX_182_180_18,BOX_209_213_313,BOX_062_006_14,BOX_105_060_163,BOX_173_048_36,BOX_166_122_85,BOX_180_095_131,BOX_146_193_1,BOX_145_178_178,BOX_160_122_240,BOX_138_399_112,BOX_136_178_53,BOX_161_294_102,BOX_209_477_79,BOX_078_089_10,BOX_194_038_77,BOX_136_111_9,BOX_149_051_44,BOX_074_016_63
1994,576.9403223114704,890.9282794262009,812.2386238330407,446.7184046916081,1002.4198587143209,1014.544066368118,931.7200953631444,1207.4210725902055,900.9450410514396,576.474792787099,522.5378362239059,1106.8409664999922,894.4365815679188,848.7453082647504,797.750591453567,997.7105943133672,478.39708502625786,457.62679394262216,381.2497845893859,841.2222180225982,1071.467763626464,802.7973728201328,362.67531178392045,761.3755969768656,823.767459636602,586.3798598520589,878.1530916815611,494.55229951579224,1301.4811357313704,1059.693654961036,788.0736832357809,1081.5208535333586,1068.5791184454858,746.196159642581,810.3724389247159,450.05055295106536,642.5219896217219,789.5042717663719,941.614752220336,864.3359613445967
1995,578.1407845627758,874.0947642090904,792.9222337314931,447.1786282048015,1002.0156259330219,1019.6360995859576,953.4364740109123,1199.229806672742,875.2056913045276,577.5421058713686,528.0320894324034,1094.8767638207232,888.7359849785621,913.2197786422952,792.6364168108867,990.9199629819752,472.2926102479673,461.71032633486647,379.2851629989067,844.232101309291,1078.1185558433328,835.6532951960106,360.70340457067243,767.5490316712395,828.6014090025559,580.0478117691024,877.2970650172522,498.0445356088668,1377.6365195707172,1111.2073301130965,799.0170392520208,1075.2497853524692,1068.2459940745473,733.0253948155315,809.9547681164939,446.2048662597225,640.0779822444665,777.0040626482033,953.9934851637157,874.0239766223332
1996,579.3412468140813,889.2415455444169,813.7095668611663,447.63885171799484,1002.4015283928517,1016.8508351177668,957.830013803413,1207.339376268931,879.6923186822188,578.6094189556381,533.5215049427051,1082.9125611414543,896.5713731433261,908.7317786660037,794.8463113645405,988.1856448190182,466.97685316986815,465.7938587271108,377.32054140842735,841.6239600459924,1107.1735391290538,844.4653180193372,358.7314973574245,772.1848701058499,827.4590698966314,577.3344041232581,876.4410383529432,495.0007339990423,1453.7919034100637,1096.9165809468057,798.0342308936927,1076.474626321359,1062.9431161671778,737.3375845282413,809.5370973082719,448.216332711413,630.1180095991887,781.6591737091493,943.6913814283324,880.2381901219178
1997,580.5417090653867,864.8946871668048,816.3934693549039,448.0990752311881,1002.7874308526813,1022.1129542826786,947.2211891827167,1203.1992034186658,898.760446620414,579.6767320399077,519.1985238083472,1075.4514049249678,906.5681475460914,910.0060949725118,797.0562059181943,975.6053119520842,462.21250564842046,469.87739111935497,375.35591981794823,839.0158187826937,1086.8327085317092,835.735104553611,356.7595901441765,774.601755911394,859.2243296218571,574.6209964774138,875.5850116886344,463.42963907887616,1369.1397196013777,1082.6258317805148,796.2595167820233,1069.9844761589325,1071.6489265634402,742.3383660305886,809.1194265000499,449.1356589880299,650.4958925376384,768.7084982884479,943.0029030607868,902.3838750549904
1998,581.2162434130382,840.5478287891927,791.7825308031589,448.55929874438146,1003.1733333125112,1010.5115791199665,950.7325014012004,1201.9629988837216,901.0899758658276,580.7440451241773,520.2771278062163,1067.9902487084817,899.3062867197641,899.1632592601745,811.9854056845523,965.1743636028888,457.4481581269729,464.99113959156,321.9282577012245,836.4076775193952,1083.1717467273024,835.0803832744539,371.30462903879595,773.6129808857665,828.6199670644069,581.4428334575077,874.7289850243255,469.36394649626124,1408.580417228357,1068.335082614224,790.0437886545429,1063.4943259965062,1069.4664335799764,748.229902962239,810.1813251527383,450.0549852646468,644.9213441056276,774.7408100568587,972.1706821133008,897.600427794929
1999,584.4026510507322,861.3454259983946,836.154637052392,464.2092354548926,1002.2200982956081,1022.1011010727409,933.9193119990465,1194.5163010816707,899.6796113121591,579.2494497595343,515.8861916568568,1083.668351799214,892.491407531552,903.671801210249,780.4086451981775,982.9211387506926,538.5514940057304,469.6991128412105,364.8845926101304,833.7995362560965,1076.0076330255263,863.9085605949455,368.0169735625316,761.1703370375643,833.0964202829174,593.7220182388264,873.8729583600166,482.4073734916753,1289.0902085154814,1072.7260835793672,798.5316276839014,1068.5857251793254,1067.2839405965126,737.9634015523768,795.7297191980751,453.9235602749201,653.2702952866952,774.3679026888146,943.7999246445901,932.4329337579599
2000,589.0777835726577,873.0627121713796,816.855064175256,457.4305582039655,1007.6150831082415,1006.0576085890759,937.3902646695984,1196.937742316923,899.8950556892715,596.6833648978914,518.1992011114171,1083.3296912518288,899.9323391054058,897.3729637900268,806.5800658955865,990.3765221647885,454.71871330009265,467.9827322426119,395.5284531316667,852.6728386197087,1058.0429187475538,831.0100609405838,378.32945832013655,766.762365819797,829.8715689546544,578.6555507794537,877.7682872882658,458.6812272508169,1293.789369325462,1067.847558876461,798.1823983000211,1057.3130195783247,1068.5592557313964,744.8663758900383,794.1106624961042,447.02074995645927,672.1667892634233,797.219768017447,940.4112537726966,914.3190497235485
2001,583.5665651711549,901.9814084436717,827.1113359603961,457.4308159294564,991.6311864716433,1016.1635274052768,960.3306524272551,1199.3591835521752,904.7485209314276,582.865824601299,526.3810832669998,1078.4049256283458,901.0603729081563,883.8096179951608,782.2053105967373,1024.3318033338064,460.643273898048,464.10005898697096,426.17231365320305,856.269459200584,1084.750665361219,855.4331655833422,385.77919304309677,758.9949019050908,827.8448141788842,585.1168443695615,869.2603772764884,453.0278366637602,1290.0889138780651,1094.51297102135,801.5655728523705,1059.1361562486989,1070.2014238923334,751.5707120133706,805.9854763517333,445.3538880519089,655.5277664691155,783.3808254509453,936.3524085717871,904.9472566324736
2002,593.1020102887819,892.1660294957287,825.7550522699707,457.3830541065213,992.2959387095469,1018.6801657476517,948.2969719268476,1205.9631695271244,909.6019861735836,585.2681931403413,524.2671532093359,1122.6119669785903,904.8444970522271,886.150702988103,801.3522688359187,983.869558374859,454.55866873906916,457.62679394262216,430.1575160959385,837.6739669354663,1089.6202005867294,826.7472618200786,355.60823617468134,732.3468146085128,861.9660802195936,599.259282620616,868.7448623637606,459.14612809487494,1294.1254249739488,1096.3773124371403,798.9918550267366,1067.752652309183,1070.2014238923334,742.08202281137,800.0249421003747,446.0637756290328,657.9849511554602,790.3454665260086,940.7328824677901,925.7264173445228
2003,582.8177850728888,893.6927426479881,796.1431661119422,461.2913211769146,986.3334165922687,1028.0685787903244,949.272133459102,1211.6222669757456,910.8550801448278,577.7570249724615,522.153223151672,1083.1542367304257,907.8967347155848,895.3057340641235,805.00276398614,984.4602196687293,457.4262255038103,470.0061347816842,453.8393278177629,829.9086064375991,1071.3333049480425,810.880740823493,395.1225227926813,768.6647691156269,878.5979593569274,605.7983058471032,874.9906645988176,447.60389554698423,1302.7287468088698,1160.3646082045705,798.9056735584094,1066.090706696636,1070.3864511478498,736.5045586480732,793.9524220469947,441.69620082822655,658.6851294552758,781.0333305828282,969.9601859573756,942.5716958334098
